endpoint_id,actor_id,platform,handle_or_domain,profile_url,endpoint_type,verification_status,evidence_url,verified_at,priority,ingest_enabled,languages,collection_mode,public_export_policy,notes
cn_maritime_safety_admin__website__msa_gov_cn,cn_maritime_safety_admin,website,msa.gov.cn,https://www.msa.gov.cn/,website,official_primary,https://www.msa.gov.cn/,2026-07-18,high,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_mfa__instagram__mfa_china,cn_mfa,instagram,mfa_china,https://www.instagram.com/mfa_china/,account,official_platform,https://www.instagram.com/mfa_china/,2026-07-18,high,True,en|zh,posts_and_metadata,inherit,
cn_mfa__website__mfa_gov_cn_eng,cn_mfa,website,mfa.gov.cn/eng,https://www.mfa.gov.cn/eng/,website,official_primary,https://www.mfa.gov.cn/eng/,2026-07-18,critical,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_mfa__x__mfa_china,cn_mfa,x,MFA_China,https://x.com/MFA_China,account,official_platform,https://x.com/MFA_China,2026-07-18,high,True,en|zh,posts_and_metadata,inherit,
cn_paperwall__pattern__pseudo_local_news_domains_with_shared_infrastructure,cn_paperwall,pattern,pseudo-local news domains with shared infrastructure,,discovery_rule,research_attributed,,2026-07-18,critical,True,de|en|zh,dynamic_discovery,inherit,
cn_paperwall__website__citizenlab_ca_2024_02_paperwall_chinese_websites_local_news_outlets,cn_paperwall,website,citizenlab.ca/2024/02/paperwall-chinese-websites-local-news-outlets,https://citizenlab.ca/2024/02/paperwall-chinese-websites-local-news-outlets/,website_or_pattern_reference,research_attributed,https://citizenlab.ca/2024/02/paperwall-chinese-websites-local-news-outlets/,2026-07-18,high,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_peoples_daily__website__en_people_cn,cn_peoples_daily,website,en.people.cn,http://en.people.cn/,website,official_primary,http://en.people.cn/,2026-07-18,high,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_peoples_daily__x__pdchina,cn_peoples_daily,x,PDChina,https://x.com/PDChina,account,official_platform,https://x.com/PDChina,2026-07-18,high,True,en|zh,posts_and_metadata,inherit,
cn_scio__website__english_scio_gov_cn,cn_scio,website,english.scio.gov.cn,http://english.scio.gov.cn/,website,official_primary,http://english.scio.gov.cn/,2026-07-18,high,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_spamouflage__pattern__new_repurposed_account_clusters_sharing_prc_aligned_media,cn_spamouflage,pattern,new/repurposed account clusters sharing PRC-aligned media,,discovery_rule,research_attributed,,2026-07-18,critical,True,de|en|zh,dynamic_discovery,inherit,
cn_spamouflage__website__blog_google_threat_analysis_group_over_50000_instances_of_dragonbridge_activity_disrupted_in_2022,cn_spamouflage,website,blog.google/threat-analysis-group/over-50000-instances-of-dragonbridge-activity-disrupted-in-2022,https://blog.google/threat-analysis-group/over-50000-instances-of-dragonbridge-activity-disrupted-in-2022/,website_or_pattern_reference,research_attributed,https://blog.google/threat-analysis-group/over-50000-instances-of-dragonbridge-activity-disrupted-in-2022/,2026-07-18,critical,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_xinhua__instagram__chinaxinhuanews,cn_xinhua,instagram,chinaxinhuanews,https://www.instagram.com/chinaxinhuanews/,account,official_platform,https://www.instagram.com/chinaxinhuanews/,2026-07-18,high,True,en|zh,posts_and_metadata,inherit,
cn_xinhua__website__english_news_cn,cn_xinhua,website,english.news.cn,https://english.news.cn/,website,official_primary,https://english.news.cn/,2026-07-18,critical,True,zh|en|de,metadata_text_hash_and_links,inherit,
cn_xinhua__x__xhnews,cn_xinhua,x,XHNews,https://x.com/XHNews,account,official_platform,https://x.com/XHNews,2026-07-18,high,True,en|zh,posts_and_metadata,inherit,
de_afd_brandenburg__website__afd_brandenburg_de,de_afd_brandenburg,website,afd-brandenburg.de,https://afd-brandenburg.de/,evidence_or_official_website,official_primary,https://afd-brandenburg.de/,2026-07-18,high,True,de,metadata_text_hash_and_links,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_afd_bund__instagram__afd_bund,de_afd_bund,instagram,afd.bund,https://www.instagram.com/afd.bund/,account,official_primary,https://www.instagram.com/afd.bund/,2026-07-18,critical,True,de,posts_and_metadata,inherit,
de_afd_bund__telegram__afdkompakt,de_afd_bund,telegram,afdkompakt,https://t.me/afdkompakt,account,official_primary,https://t.me/afdkompakt,2026-07-18,critical,True,de,posts_and_metadata,inherit,
de_afd_bund__x__afd,de_afd_bund,x,AfD,https://x.com/AfD,account,official_primary,https://x.com/AfD,2026-07-18,critical,True,de,posts_and_metadata,inherit,
de_afd_bund__youtube__afdtv,de_afd_bund,youtube,@AfDTV,https://www.youtube.com/@AfDTV,account,official_primary,https://www.youtube.com/@AfDTV,2026-07-18,critical,True,de,posts_and_metadata,inherit,
de_afd_bundestag__website__afdbundestag_de,de_afd_bundestag,website,afdbundestag.de,https://afdbundestag.de/,evidence_or_official_website,official_primary,https://afdbundestag.de/,2026-07-18,critical,True,de,metadata_text_hash_and_links,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_afd_mecklenburg_vorpommern__website__afd_mv_de,de_afd_mecklenburg_vorpommern,website,afd-mv.de,https://afd-mv.de/,evidence_or_official_website,official_primary,https://afd-mv.de/,2026-07-18,high,True,de,metadata_text_hash_and_links,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_afd_sachsen__website__afdsachsen_de,de_afd_sachsen,website,afdsachsen.de,https://afdsachsen.de/,evidence_or_official_website,official_primary,https://afdsachsen.de/,2026-07-18,high,True,de,metadata_text_hash_and_links,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_afd_sachsen_anhalt__website__afd_lsa_de,de_afd_sachsen_anhalt,website,afd-lsa.de,https://afd-lsa.de/,evidence_or_official_website,official_primary,https://afd-lsa.de/,2026-07-18,high,True,de,metadata_text_hash_and_links,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_afd_thueringen__website__afd_thueringen_de,de_afd_thueringen,website,afd-thueringen.de,https://afd-thueringen.de/,evidence_or_official_website,official_primary,https://afd-thueringen.de/,2026-07-18,high,True,de,metadata_text_hash_and_links,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_afd_tv__website__youtube_com_afdtv,de_afd_tv,website,youtube.com/@AfDTV,https://www.youtube.com/@AfDTV,evidence_or_official_website,official_primary,https://www.youtube.com/@AfDTV,2026-07-18,high,True,de,metadata_text_hash_and_links,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_alexander_dobrindt__website__search_gesis_org_research_data_za9076,de_alexander_dobrindt,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,evidence_or_official_website,official_primary,https://search.gesis.org/research_data/ZA9076,2026-07-18,high,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_alice_weidel__instagram__alice_weidel,de_alice_weidel,instagram,alice.weidel,https://www.instagram.com/alice.weidel/,account,official_or_primary_crosslink,https://www.instagram.com/alice.weidel/,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_alice_weidel__tiktok__alice_weidel_afd,de_alice_weidel,tiktok,alice_weidel_afd,https://www.tiktok.com/@alice_weidel_afd,account,official_or_primary_crosslink,https://www.tiktok.com/@alice_weidel_afd,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_alice_weidel__x__alice_weidel,de_alice_weidel,x,Alice_Weidel,https://x.com/Alice_Weidel,account,official_or_primary_crosslink,https://x.com/Alice_Weidel,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_amid_rabieh__website__bsw_vg_de_partei_parteivorstand,de_amid_rabieh,website,bsw-vg.de/partei/parteivorstand,https://bsw-vg.de/partei/parteivorstand/,evidence_or_official_website,official_primary,https://bsw-vg.de/partei/parteivorstand/,2026-07-18,normal,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_amira_mohamed_ali__x__amira_m_ali,de_amira_mohamed_ali,x,Amira_M_Ali,https://x.com/Amira_M_Ali,account,official_or_primary_crosslink,https://x.com/Amira_M_Ali,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_annalena_baerbock__website__search_gesis_org_research_data_za9076,de_annalena_baerbock,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,evidence_or_official_website,official_primary,https://search.gesis.org/research_data/ZA9076,2026-07-18,high,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_anti_spiegel__telegram__antispiegel,de_anti_spiegel,telegram,AntiSpiegel,https://t.me/AntiSpiegel,account,official_platform_or_crosslink,https://t.me/AntiSpiegel,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_anti_spiegel__website__anti_spiegel_ru,de_anti_spiegel,website,anti-spiegel.ru,https://anti-spiegel.ru/,website,official_primary,https://anti-spiegel.ru/,2026-07-18,critical,True,de,articles_metadata_text_hash,inherit,
de_apollo_news__website__apollo_news_net,de_apollo_news,website,apollo-news.net,https://apollo-news.net/,website,official_primary,https://apollo-news.net/,2026-07-18,critical,True,de,articles_metadata_text_hash,inherit,
de_apollo_news__x__apollo_news_de,de_apollo_news,x,apollo_news_de,https://x.com/apollo_news_de,account,official_platform_or_crosslink,https://x.com/apollo_news_de,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_apolut__telegram__apolut_net,de_apolut,telegram,apolut_net,https://t.me/apolut_net,account,official_platform_or_crosslink,https://t.me/apolut_net,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_apolut__website__apolut_net,de_apolut,website,apolut.net,https://apolut.net/,website,official_primary,https://apolut.net/,2026-07-18,high,True,de,articles_metadata_text_hash,inherit,
de_auf1__instagram__auf1_tv,de_auf1,instagram,auf1.tv,https://www.instagram.com/auf1.tv/,account,official_platform_or_crosslink,https://www.instagram.com/auf1.tv/,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_auf1__telegram__auf1tv,de_auf1,telegram,auf1tv,https://t.me/auf1tv,account,official_platform_or_crosslink,https://t.me/auf1tv,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_auf1__website__auf1_tv,de_auf1,website,auf1.tv,https://auf1.tv/,website,official_primary,https://auf1.tv/,2026-07-18,critical,True,de,articles_metadata_text_hash,inherit,
de_auf1__youtube__auf1tv,de_auf1,youtube,@auf1tv,https://www.youtube.com/@auf1tv,account,official_platform_or_crosslink,https://www.youtube.com/@auf1tv,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_auswaertiges_amt__x__auswaertigesamt,de_auswaertiges_amt,x,AuswaertigesAmt,https://x.com/AuswaertigesAmt,account,official_platform,https://x.com/AuswaertigesAmt,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_beatrix_von_storch__x__beatrix_vstorch,de_beatrix_von_storch,x,Beatrix_vStorch,https://x.com/Beatrix_vStorch,account,official_or_primary_crosslink,https://x.com/Beatrix_vStorch,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_bjoern_hoecke__instagram__bjoern_hoecke_afd,de_bjoern_hoecke,instagram,bjoern_hoecke_afd,https://www.instagram.com/bjoern_hoecke_afd/,account,official_or_primary_crosslink,https://www.instagram.com/bjoern_hoecke_afd/,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_bjoern_hoecke__x__bjoernhoecke,de_bjoern_hoecke,x,BjoernHoecke,https://x.com/BjoernHoecke,account,official_or_primary_crosslink,https://x.com/BjoernHoecke,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_bmvg__x__bmvg_bundeswehr,de_bmvg,x,BMVg_Bundeswehr,https://x.com/BMVg_Bundeswehr,account,official_platform,https://x.com/BMVg_Bundeswehr,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_bodo_ramelow__website__die_linke_de_partei_parteidemokratie_parteivorstand,de_bodo_ramelow,website,die-linke.de/partei/parteidemokratie/parteivorstand,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,evidence_or_official_website,official_primary,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,2026-07-18,high,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_boris_pistorius__website__search_gesis_org_research_data_za9076,de_boris_pistorius,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,evidence_or_official_website,official_primary,https://search.gesis.org/research_data/ZA9076,2026-07-18,critical,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_bsw_brandenburg__website__bb_bsw_vg_de,de_bsw_brandenburg,website,bb.bsw-vg.de,https://bb.bsw-vg.de/,evidence_or_official_website,official_primary,https://bb.bsw-vg.de/,2026-07-18,high,True,de,metadata_text_hash_and_links,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_bsw_bund__facebook__bsw_bund,de_bsw_bund,facebook,BSW.Bund,https://www.facebook.com/BSW.Bund,account,official_primary,https://bsw-vg.de/impressum/,2026-07-18,critical,True,de,posts_and_metadata,inherit,
de_bsw_bund__instagram__bsw_bund,de_bsw_bund,instagram,bsw.bund,https://www.instagram.com/bsw.bund,account,official_primary,https://bsw-vg.de/impressum/,2026-07-18,critical,True,de,posts_and_metadata,inherit,
de_bsw_bund__tiktok__bsw_bund,de_bsw_bund,tiktok,bsw.bund,https://www.tiktok.com/@bsw.bund,account,official_primary,https://bsw-vg.de/impressum/,2026-07-18,critical,True,de,posts_and_metadata,inherit,
de_bsw_bund__x__bswbund,de_bsw_bund,x,BSWbund,https://x.com/BSWbund,account,official_primary,https://bsw-vg.de/impressum/,2026-07-18,critical,True,de,posts_and_metadata,inherit,
de_bsw_bund__youtube__bswbund,de_bsw_bund,youtube,@BSWbund,https://www.youtube.com/@BSWbund,account,official_primary,https://bsw-vg.de/impressum/,2026-07-18,critical,True,de,posts_and_metadata,inherit,
de_bsw_mecklenburg_vorpommern__website__mv_bsw_vg_de,de_bsw_mecklenburg_vorpommern,website,mv.bsw-vg.de,https://mv.bsw-vg.de/,evidence_or_official_website,official_primary,https://mv.bsw-vg.de/,2026-07-18,high,True,de,metadata_text_hash_and_links,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_bsw_sachsen_anhalt__website__st_bsw_vg_de,de_bsw_sachsen_anhalt,website,st.bsw-vg.de,https://st.bsw-vg.de/,evidence_or_official_website,official_primary,https://st.bsw-vg.de/,2026-07-18,high,True,de,metadata_text_hash_and_links,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_bsw_thueringen__website__th_bsw_vg_de,de_bsw_thueringen,website,th.bsw-vg.de,https://th.bsw-vg.de/,evidence_or_official_website,official_primary,https://th.bsw-vg.de/,2026-07-18,high,True,de,metadata_text_hash_and_links,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_bundesregierung__x__bundesregierung,de_bundesregierung,x,Bundesregierung,https://x.com/Bundesregierung,account,official_platform,https://x.com/Bundesregierung,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_carola_rackete__website__die_linke_de_partei_parteidemokratie_parteivorstand,de_carola_rackete,website,die-linke.de/partei/parteidemokratie/parteivorstand,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,evidence_or_official_website,official_primary,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,2026-07-18,high,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_carsten_linnemann__website__search_gesis_org_research_data_za9076,de_carsten_linnemann,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,evidence_or_official_website,official_primary,https://search.gesis.org/research_data/ZA9076,2026-07-18,high,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_cdu_bund__x__cdu,de_cdu_bund,x,CDU,https://x.com/CDU,account,official_platform,https://x.com/CDU,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_cem_oezdemir__website__search_gesis_org_research_data_za9076,de_cem_oezdemir,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,evidence_or_official_website,official_primary,https://search.gesis.org/research_data/ZA9076,2026-07-18,high,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_christian_duerr__website__bundesregierung_de_breg_de_bundesregierung_bundeskabinett,de_christian_duerr,website,bundesregierung.de/breg-de/bundesregierung/bundeskabinett,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskabinett,evidence_or_official_website,official_primary,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskabinett,2026-07-18,normal,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_christian_leye__website__bsw_vg_de_partei_parteivorstand,de_christian_leye,website,bsw-vg.de/partei/parteivorstand,https://bsw-vg.de/partei/parteivorstand/,evidence_or_official_website,official_primary,https://bsw-vg.de/partei/parteivorstand/,2026-07-18,normal,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_christian_lindner__x__c_lindner,de_christian_lindner,x,c_lindner,https://x.com/c_lindner,account,research_dataset_or_primary_crosslink,https://search.gesis.org/research_data/ZA9076,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_christina_baum__website__bundestag_de_abgeordnete_biografien_b_baum_christina_1043510,de_christina_baum,website,bundestag.de/abgeordnete/biografien/B/baum_christina-1043510,https://www.bundestag.de/abgeordnete/biografien/B/baum_christina-1043510,evidence_or_official_website,official_primary,https://www.bundestag.de/abgeordnete/biografien/B/baum_christina-1043510,2026-07-18,normal,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_compact__website__compact_online_de,de_compact,website,compact-online.de,https://www.compact-online.de/,website,official_primary,https://www.compact-online.de/,2026-07-18,high,True,de,articles_metadata_text_hash,inherit,
de_csu_bund__x__csu,de_csu_bund,x,CSU,https://x.com/CSU,account,official_platform,https://x.com/CSU,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_deutschland_kurier__website__deutschlandkurier_de,de_deutschland_kurier,website,deutschlandkurier.de,https://deutschlandkurier.de/,website,official_primary,https://deutschlandkurier.de/,2026-07-18,high,True,de,articles_metadata_text_hash,inherit,
de_deutschland_kurier__x__deu_kurier,de_deutschland_kurier,x,Deu_Kurier,https://x.com/Deu_Kurier,account,official_platform_or_crosslink,https://x.com/Deu_Kurier,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_dietmar_bartsch__website__die_linke_de_partei_parteidemokratie_parteivorstand,de_dietmar_bartsch,website,die-linke.de/partei/parteidemokratie/parteivorstand,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,evidence_or_official_website,official_primary,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,2026-07-18,normal,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_dorothee_baer__website__bundesregierung_de_breg_de_bundesregierung_bundeskabinett,de_dorothee_baer,website,bundesregierung.de/breg-de/bundesregierung/bundeskabinett,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskabinett,evidence_or_official_website,official_primary,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskabinett,2026-07-18,high,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
de_epoch_times__website__epochtimes_de,de_epoch_times,website,epochtimes.de,https://www.epochtimes.de/,website,official_primary,https://www.epochtimes.de/,2026-07-18,high,True,de,articles_metadata_text_hash,inherit,
de_epoch_times__x__epochtimesde,de_epoch_times,x,EpochTimesDE,https://x.com/EpochTimesDE,account,official_platform_or_crosslink,https://x.com/EpochTimesDE,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_fabio_de_masi__x__fabiodemasi,de_fabio_de_masi,x,FabioDeMasi,https://x.com/FabioDeMasi,account,official_or_primary_crosslink,https://x.com/FabioDeMasi,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_fdp_bund__x__fdp,de_fdp_bund,x,fdp,https://x.com/fdp,account,official_platform,https://x.com/fdp,2026-07-18,high,True,de,posts_and_metadata,inherit,
de_felix_banaszak__website__search_gesis_org_research_data_za9076,de_felix_banaszak,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,evidence_or_official_website,official_primary,https://search.gesis.org/research_data/ZA9076,2026-07-18,high,False,de,metadata_only,inherit,For political actors this endpoint is evidence/identity support; social collection uses separately verified endpoints.
