actor_id,display_name,country,actor_class,priority,platform,handle_or_domain,profile_url,verification_status,ingest_enabled
cn_paperwall,Paperwall network,CN,known_fimi_infrastructure,high,website,citizenlab.ca/2024/02/paperwall-chinese-websites-local-news-outlets,https://citizenlab.ca/2024/02/paperwall-chinese-websites-local-news-outlets/,research_attributed,True
cn_peoples_daily,People's Daily,CN,state_media,high,website,en.people.cn,http://en.people.cn/,official_primary,True
cn_peoples_daily,People's Daily,CN,state_media,high,x,PDChina,https://x.com/PDChina,official_platform,True
cn_scio,State Council Information Office,CN,official_state_source,high,website,english.scio.gov.cn,http://english.scio.gov.cn/,official_primary,True
cn_spamouflage,Spamouflage / Dragonbridge,CN,known_fimi_infrastructure,critical,pattern,new/repurposed account clusters sharing PRC-aligned media,,research_attributed,True
cn_spamouflage,Spamouflage / Dragonbridge,CN,known_fimi_infrastructure,critical,website,blog.google/threat-analysis-group/over-50000-instances-of-dragonbridge-activity-disrupted-in-2022,https://blog.google/threat-analysis-group/over-50000-instances-of-dragonbridge-activity-disrupted-in-2022/,research_attributed,True
cn_xinhua,Xinhua News Agency,CN,state_media,critical,instagram,chinaxinhuanews,https://www.instagram.com/chinaxinhuanews/,official_platform,True
cn_xinhua,Xinhua News Agency,CN,state_media,critical,website,english.news.cn,https://english.news.cn/,official_primary,True
cn_xinhua,Xinhua News Agency,CN,state_media,critical,x,XHNews,https://x.com/XHNews,official_platform,True
de_afd_brandenburg,AfD Brandenburg,DE,state_party_channel,high,website,afd-brandenburg.de,https://afd-brandenburg.de/,official_primary,True
de_afd_bund,Alternative für Deutschland — Bundespartei,DE,party_channel,critical,instagram,afd.bund,https://www.instagram.com/afd.bund/,official_primary,True
de_afd_bund,Alternative für Deutschland — Bundespartei,DE,party_channel,critical,telegram,afdkompakt,https://t.me/afdkompakt,official_primary,True
de_afd_bund,Alternative für Deutschland — Bundespartei,DE,party_channel,critical,x,AfD,https://x.com/AfD,official_primary,True
de_afd_bund,Alternative für Deutschland — Bundespartei,DE,party_channel,critical,youtube,@AfDTV,https://www.youtube.com/@AfDTV,official_primary,True
de_afd_bundestag,AfD-Bundestagsfraktion,DE,parliamentary_group,critical,website,afdbundestag.de,https://afdbundestag.de/,official_primary,True
de_afd_mecklenburg_vorpommern,AfD Mecklenburg-Vorpommern,DE,state_party_channel,high,website,afd-mv.de,https://afd-mv.de/,official_primary,True
de_afd_sachsen,AfD Sachsen,DE,state_party_channel,high,website,afdsachsen.de,https://afdsachsen.de/,official_primary,True
de_afd_sachsen_anhalt,AfD Sachsen-Anhalt,DE,state_party_channel,high,website,afd-lsa.de,https://afd-lsa.de/,official_primary,True
de_afd_thueringen,AfD Thüringen,DE,state_party_channel,high,website,afd-thueringen.de,https://afd-thueringen.de/,official_primary,True
de_afd_tv,AfD TV,DE,party_media,high,website,youtube.com/@AfDTV,https://www.youtube.com/@AfDTV,official_primary,True
de_alexander_dobrindt,Alexander Dobrindt,DE,political_actor,high,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,official_primary,False
de_alice_weidel,Alice Weidel,DE,political_actor,critical,instagram,alice.weidel,https://www.instagram.com/alice.weidel/,official_or_primary_crosslink,True
de_alice_weidel,Alice Weidel,DE,political_actor,critical,tiktok,alice_weidel_afd,https://www.tiktok.com/@alice_weidel_afd,official_or_primary_crosslink,True
de_alice_weidel,Alice Weidel,DE,political_actor,critical,x,Alice_Weidel,https://x.com/Alice_Weidel,official_or_primary_crosslink,True
de_amid_rabieh,Amid Rabieh,DE,political_actor,normal,website,bsw-vg.de/partei/parteivorstand,https://bsw-vg.de/partei/parteivorstand/,official_primary,False
de_amira_mohamed_ali,Amira Mohamed Ali,DE,political_actor,critical,x,Amira_M_Ali,https://x.com/Amira_M_Ali,official_or_primary_crosslink,True
de_annalena_baerbock,Annalena Baerbock,DE,political_actor,high,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,official_primary,False
de_anti_spiegel,Anti-Spiegel,DE,bridge_media,critical,telegram,AntiSpiegel,https://t.me/AntiSpiegel,official_platform_or_crosslink,True
de_anti_spiegel,Anti-Spiegel,DE,bridge_media,critical,website,anti-spiegel.ru,https://anti-spiegel.ru/,official_primary,True
de_apollo_news,Apollo News,DE,bridge_media,critical,website,apollo-news.net,https://apollo-news.net/,official_primary,True
de_apollo_news,Apollo News,DE,bridge_media,critical,x,apollo_news_de,https://x.com/apollo_news_de,official_platform_or_crosslink,True
de_apolut,Apolut,DE,bridge_media,high,telegram,apolut_net,https://t.me/apolut_net,official_platform_or_crosslink,True
de_apolut,Apolut,DE,bridge_media,high,website,apolut.net,https://apolut.net/,official_primary,True
de_auf1,AUF1,DE,bridge_media,critical,instagram,auf1.tv,https://www.instagram.com/auf1.tv/,official_platform_or_crosslink,True
de_auf1,AUF1,DE,bridge_media,critical,telegram,auf1tv,https://t.me/auf1tv,official_platform_or_crosslink,True
de_auf1,AUF1,DE,bridge_media,critical,website,auf1.tv,https://auf1.tv/,official_primary,True
de_auf1,AUF1,DE,bridge_media,critical,youtube,@auf1tv,https://www.youtube.com/@auf1tv,official_platform_or_crosslink,True
de_auswaertiges_amt,Auswärtiges Amt,DE,government_source,critical,x,AuswaertigesAmt,https://x.com/AuswaertigesAmt,official_platform,True
de_beatrix_von_storch,Beatrix von Storch,DE,political_actor,high,x,Beatrix_vStorch,https://x.com/Beatrix_vStorch,official_or_primary_crosslink,True
de_bjoern_hoecke,Björn Höcke,DE,political_actor,critical,instagram,bjoern_hoecke_afd,https://www.instagram.com/bjoern_hoecke_afd/,official_or_primary_crosslink,True
de_bjoern_hoecke,Björn Höcke,DE,political_actor,critical,x,BjoernHoecke,https://x.com/BjoernHoecke,official_or_primary_crosslink,True
de_bmvg,Bundesministerium der Verteidigung,DE,government_source,critical,x,BMVg_Bundeswehr,https://x.com/BMVg_Bundeswehr,official_platform,True
de_bodo_ramelow,Bodo Ramelow,DE,political_actor,high,website,die-linke.de/partei/parteidemokratie/parteivorstand,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,official_primary,False
de_boris_pistorius,Boris Pistorius,DE,political_actor,critical,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,official_primary,False
de_bsw_brandenburg,BSW Brandenburg,DE,state_party_channel,high,website,bb.bsw-vg.de,https://bb.bsw-vg.de/,official_primary,True
de_bsw_bund,Bündnis Sahra Wagenknecht — Bundespartei,DE,party_channel,critical,facebook,BSW.Bund,https://www.facebook.com/BSW.Bund,official_primary,True
de_bsw_bund,Bündnis Sahra Wagenknecht — Bundespartei,DE,party_channel,critical,instagram,bsw.bund,https://www.instagram.com/bsw.bund,official_primary,True
de_bsw_bund,Bündnis Sahra Wagenknecht — Bundespartei,DE,party_channel,critical,tiktok,bsw.bund,https://www.tiktok.com/@bsw.bund,official_primary,True
de_bsw_bund,Bündnis Sahra Wagenknecht — Bundespartei,DE,party_channel,critical,x,BSWbund,https://x.com/BSWbund,official_primary,True
de_bsw_bund,Bündnis Sahra Wagenknecht — Bundespartei,DE,party_channel,critical,youtube,@BSWbund,https://www.youtube.com/@BSWbund,official_primary,True
de_bsw_mecklenburg_vorpommern,BSW Mecklenburg-Vorpommern,DE,state_party_channel,high,website,mv.bsw-vg.de,https://mv.bsw-vg.de/,official_primary,True
de_bsw_sachsen_anhalt,BSW Sachsen-Anhalt,DE,state_party_channel,high,website,st.bsw-vg.de,https://st.bsw-vg.de/,official_primary,True
de_bsw_thueringen,BSW Thüringen,DE,state_party_channel,high,website,th.bsw-vg.de,https://th.bsw-vg.de/,official_primary,True
de_bundesregierung,Bundesregierung,DE,government_source,critical,x,Bundesregierung,https://x.com/Bundesregierung,official_platform,True
de_carola_rackete,Carola Rackete,DE,political_actor,high,website,die-linke.de/partei/parteidemokratie/parteivorstand,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,official_primary,False
de_carsten_linnemann,Carsten Linnemann,DE,political_actor,high,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,official_primary,False
de_cdu_bund,CDU Deutschlands,DE,party_channel,high,x,CDU,https://x.com/CDU,official_platform,True
de_cem_oezdemir,Cem Özdemir,DE,political_actor,high,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,official_primary,False
de_christian_duerr,Christian Dürr,DE,political_actor,normal,website,bundesregierung.de/breg-de/bundesregierung/bundeskabinett,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskabinett,official_primary,False
de_christian_leye,Christian Leye,DE,political_actor,normal,website,bsw-vg.de/partei/parteivorstand,https://bsw-vg.de/partei/parteivorstand/,official_primary,False
de_christian_lindner,Christian Lindner,DE,political_actor,high,x,c_lindner,https://x.com/c_lindner,research_dataset_or_primary_crosslink,True
de_christina_baum,Christina Baum,DE,political_actor,normal,website,bundestag.de/abgeordnete/biografien/B/baum_christina-1043510,https://www.bundestag.de/abgeordnete/biografien/B/baum_christina-1043510,official_primary,False
de_compact,COMPACT,DE,bridge_media,high,website,compact-online.de,https://www.compact-online.de/,official_primary,True
de_csu_bund,Christlich-Soziale Union,DE,party_channel,high,x,CSU,https://x.com/CSU,official_platform,True
de_deutschland_kurier,Deutschland-Kurier,DE,party_aligned_media,high,website,deutschlandkurier.de,https://deutschlandkurier.de/,official_primary,True
de_deutschland_kurier,Deutschland-Kurier,DE,party_aligned_media,high,x,Deu_Kurier,https://x.com/Deu_Kurier,official_platform_or_crosslink,True
de_dietmar_bartsch,Dietmar Bartsch,DE,political_actor,normal,website,die-linke.de/partei/parteidemokratie/parteivorstand,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,official_primary,False
de_dorothee_baer,Dorothee Bär,DE,political_actor,high,website,bundesregierung.de/breg-de/bundesregierung/bundeskabinett,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskabinett,official_primary,False
de_epoch_times,Epoch Times Deutsch,DE,bridge_media,high,website,epochtimes.de,https://www.epochtimes.de/,official_primary,True
de_epoch_times,Epoch Times Deutsch,DE,bridge_media,high,x,EpochTimesDE,https://x.com/EpochTimesDE,official_platform_or_crosslink,True
de_fabio_de_masi,Fabio De Masi,DE,political_actor,critical,x,FabioDeMasi,https://x.com/FabioDeMasi,official_or_primary_crosslink,True
de_fdp_bund,Freie Demokratische Partei,DE,party_channel,high,x,fdp,https://x.com/fdp,official_platform,True
de_felix_banaszak,Felix Banaszak,DE,political_actor,high,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,official_primary,False
de_ferat_kocak,Ferat Koçak,DE,political_actor,high,x,ferat_kocak,https://x.com/ferat_kocak,official_or_primary_crosslink,True
de_franziska_brantner,Franziska Brantner,DE,political_actor,high,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,official_primary,False
de_freie_sachsen,Freie Sachsen,DE,political_movement_channel,critical,telegram,freie_sachsen,https://t.me/freie_sachsen,official_platform_or_crosslink,True
de_freie_sachsen,Freie Sachsen,DE,political_movement_channel,critical,website,freie-sachsen.info,https://freie-sachsen.info/,official_primary,True
de_friedrich_merz,Friedrich Merz,DE,political_actor,critical,x,_FriedrichMerz,https://x.com/_FriedrichMerz,research_dataset_or_primary_crosslink,True
de_friedrich_puerner,Friedrich Pürner,DE,political_actor,high,instagram,puernerfriedrich,https://www.instagram.com/puernerfriedrich/,official_or_primary_crosslink,True
de_friedrich_puerner,Friedrich Pürner,DE,political_actor,high,tiktok,friedrich.puerner,https://www.tiktok.com/@friedrich.puerner,official_or_primary_crosslink,True
de_friedrich_puerner,Friedrich Pürner,DE,political_actor,high,x,DrPuerner,https://x.com/DrPuerner,official_or_primary_crosslink,True
de_generation_deutschland,Generation Deutschland,DE,party_youth_channel,high,website,afd.de/generation-deutschland,https://www.afd.de/generation-deutschland/,official_primary,True
de_gottfried_curio,Gottfried Curio,DE,political_actor,high,website,bundestag.de/abgeordnete/biografien/C/curio_gottfried-1044074,https://www.bundestag.de/abgeordnete/biografien/C/curio_gottfried-1044074,official_primary,False
de_gregor_gysi,Gregor Gysi,DE,political_actor,high,instagram,gregorgysi,https://www.instagram.com/gregorgysi/,official_or_primary_crosslink,True
de_gregor_gysi,Gregor Gysi,DE,political_actor,high,x,GregorGysi,https://x.com/GregorGysi,official_or_primary_crosslink,True
de_gruene_bund,Bündnis 90/Die Grünen,DE,party_channel,high,x,Die_Gruenen,https://x.com/Die_Gruenen,official_platform,True
de_hannes_gnauck,Hannes Gnauck,DE,political_actor,high,website,bundestag.de/abgeordnete/biografien/G/gnauck_hannes-1044704,https://www.bundestag.de/abgeordnete/biografien/G/gnauck_hannes-1044704,official_primary,False
de_hans_georg_maassen,Hans-Georg Maaßen,DE,political_actor,high,x,HGMaassen,https://x.com/HGMaassen,official_or_primary_crosslink,True
de_heidi_reichinnek,Heidi Reichinnek,DE,political_actor,critical,bluesky,heidireichinnek.de,https://bsky.app/profile/heidireichinnek.de,official_or_primary_crosslink,True
de_heidi_reichinnek,Heidi Reichinnek,DE,political_actor,critical,instagram,heidireichinnek,https://www.instagram.com/heidireichinnek/,official_or_primary_crosslink,True
de_heidi_reichinnek,Heidi Reichinnek,DE,political_actor,critical,tiktok,heidireichinnek,https://www.tiktok.com/@heidireichinnek,official_or_primary_crosslink,True
de_ines_schwerdtner,Ines Schwerdtner,DE,political_actor,high,website,die-linke.de/partei/parteidemokratie/parteivorstand,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,official_primary,False
de_jan_van_aken,Jan van Aken,DE,political_actor,high,website,die-linke.de/partei/parteidemokratie/parteivorstand,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,official_primary,False
de_jean_pascal_hohm,Jean-Pascal Hohm,DE,political_actor,high,website,afd.de/bundesvorstand,https://www.afd.de/bundesvorstand/,official_primary,False
de_jens_spahn,Jens Spahn,DE,political_actor,high,x,jensspahn,https://x.com/jensspahn,research_dataset_or_primary_crosslink,True
de_jessica_tatti,Jessica Tatti,DE,political_actor,normal,website,bsw-vg.de/partei/parteivorstand,https://bsw-vg.de/partei/parteivorstand/,official_primary,False
de_joana_cotar,Joana Cotar,DE,political_actor,high,x,JoanaCotar,https://x.com/JoanaCotar,official_or_primary_crosslink,True
de_johann_wadephul,Johann Wadephul,DE,political_actor,high,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,official_primary,False
de_jsw_bund,Jugendbündnis Sahra Wagenknecht,DE,party_youth_channel,normal,website,bsw-vg.de,https://bsw-vg.de/,official_primary,True
de_julia_kloeckner,Julia Klöckner,DE,political_actor,high,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,official_primary,False
de_julian_reichelt,Julian Reichelt,DE,high_reach_political_influencer,critical,website,nius.de,https://www.nius.de/,official_primary,True
de_junge_freiheit,Junge Freiheit,DE,bridge_media,critical,instagram,jungefreiheit,https://www.instagram.com/jungefreiheit/,official_platform_or_crosslink,True
de_junge_freiheit,Junge Freiheit,DE,bridge_media,critical,website,jungefreiheit.de,https://jungefreiheit.de/,official_primary,True
de_junge_freiheit,Junge Freiheit,DE,bridge_media,critical,x,Junge_Freiheit,https://x.com/Junge_Freiheit,official_platform_or_crosslink,True
de_junge_freiheit,Junge Freiheit,DE,bridge_media,critical,youtube,@Junge_Freiheit,https://www.youtube.com/@Junge_Freiheit,official_platform_or_crosslink,True
de_junge_welt,Junge Welt,DE,media_outlet,normal,website,jungewelt.de,https://www.jungewelt.de/,official_primary,True
de_karl_lauterbach,Karl Lauterbach,DE,political_actor,high,x,Karl_Lauterbach,https://x.com/Karl_Lauterbach,research_dataset_or_primary_crosslink,True
de_katharina_droege,Katharina Dröge,DE,political_actor,high,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,official_primary,False
de_kay_gottschalk,Kay Gottschalk,DE,political_actor,high,website,bundestag.de/abgeordnete/biografien/G/gottschalk_kay-1044736,https://www.bundestag.de/abgeordnete/biografien/G/gottschalk_kay-1044736,official_primary,False
de_klaus_ernst,Klaus Ernst,DE,political_actor,high,website,bsw-vg.de/partei/parteivorstand,https://bsw-vg.de/partei/parteivorstand/,official_primary,False
de_konstantin_kuhle,Konstantin Kuhle,DE,political_actor,normal,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,official_primary,False
de_lars_klingbeil,Lars Klingbeil,DE,political_actor,critical,x,larsklingbeil,https://x.com/larsklingbeil,research_dataset_or_primary_crosslink,True
de_linke_bund,Die Linke — Bundespartei,DE,party_channel,critical,facebook,linkspartei,https://www.facebook.com/linkspartei/,official_primary,True
de_linke_bund,Die Linke — Bundespartei,DE,party_channel,critical,instagram,dielinke,https://www.instagram.com/dielinke/,official_primary,True
de_linke_bund,Die Linke — Bundespartei,DE,party_channel,critical,telegram,dielinke,https://t.me/dielinke,official_primary,True
de_linke_bund,Die Linke — Bundespartei,DE,party_channel,critical,tiktok,die.linke,https://www.tiktok.com/@die.linke,official_primary,True
de_linke_bund,Die Linke — Bundespartei,DE,party_channel,critical,x,dielinke,https://x.com/dielinke,official_primary,True
de_linke_bund,Die Linke — Bundespartei,DE,party_channel,critical,youtube,dielinke,https://www.youtube.com/user/dielinke,official_primary,True
de_linke_bundestag,Gruppe Die Linke im Bundestag,DE,parliamentary_group,high,website,die-linke-im-bundestag.de,https://www.die-linke-im-bundestag.de/,official_primary,True
de_linksjugend,Linksjugend solid,DE,party_youth_channel,normal,website,linksjugend-solid.de,https://www.linksjugend-solid.de/,official_primary,True
de_luigi_pantisano,Luigi Pantisano,DE,political_actor,high,website,die-linke.de/partei/parteidemokratie/parteivorstand,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,official_primary,False
de_manova,Manova,DE,independent_media,normal,website,manova.news,https://www.manova.news/,official_primary,True
de_marie_agnes_strack_zimmermann,Marie-Agnes Strack-Zimmermann,DE,political_actor,high,x,MAStrackZi,https://x.com/MAStrackZi,research_dataset_or_primary_crosslink,True
de_markus_frohnmaier,Markus Frohnmaier,DE,political_actor,high,website,bundestag.de/abgeordnete/biografien/F/frohnmaier_markus-1044498,https://www.bundestag.de/abgeordnete/biografien/F/frohnmaier_markus-1044498,official_primary,False
de_markus_soeder,Markus Söder,DE,political_actor,critical,instagram,markus.soeder,https://www.instagram.com/markus.soeder/,research_dataset_or_primary_crosslink,True
de_markus_soeder,Markus Söder,DE,political_actor,critical,x,Markus_Soeder,https://x.com/Markus_Soeder,research_dataset_or_primary_crosslink,True
de_martin_schirdewan,Martin Schirdewan,DE,political_actor,normal,website,die-linke.de/partei/parteidemokratie/parteivorstand,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,official_primary,False
de_martin_sellner,Martin Sellner,DE,high_reach_political_influencer,critical,website,martin-sellner.at,https://www.martin-sellner.at/,official_primary,True
de_martin_sichert,Martin Sichert,DE,political_actor,high,website,bundestag.de/abgeordnete/biografien/S/sichert_martin-1047276,https://www.bundestag.de/abgeordnete/biografien/S/sichert_martin-1047276,official_primary,False
de_matthias_helferich,Matthias Helferich,DE,political_actor,high,instagram,matthiashelferichafd,https://www.instagram.com/matthiashelferichafd/,official_or_primary_crosslink,True
de_matthias_helferich,Matthias Helferich,DE,political_actor,high,x,MatthiasMdb,https://x.com/MatthiasMdb,official_or_primary_crosslink,True
de_matthias_helferich,Matthias Helferich,DE,political_actor,high,youtube,@matthiashelferichmdb,https://www.youtube.com/@matthiashelferichmdb,official_or_primary_crosslink,True
de_maximilian_krah,Maximilian Krah,DE,political_actor,critical,instagram,maximilian.krah,https://www.instagram.com/maximilian.krah/,official_or_primary_crosslink,True
de_maximilian_krah,Maximilian Krah,DE,political_actor,critical,tiktok,maximilian_krah,https://www.tiktok.com/@maximilian_krah,official_or_primary_crosslink,True
de_maximilian_krah,Maximilian Krah,DE,political_actor,critical,x,krahmax,https://x.com/krahmax,official_or_primary_crosslink,True
de_maximilian_krah,Maximilian Krah,DE,political_actor,critical,youtube,@dr.maximiliankrah5116,https://www.youtube.com/@dr.maximiliankrah5116,official_or_primary_crosslink,True
de_michael_lueders,Michael Lüders,DE,political_actor,high,website,bsw-vg.de/partei/parteivorstand,https://bsw-vg.de/partei/parteivorstand/,official_primary,False
de_multipolar,Multipolar,DE,independent_media,normal,website,multipolar-magazin.de,https://multipolar-magazin.de/,official_primary,True
de_nachdenkseiten,NachDenkSeiten,DE,independent_media,high,website,nachdenkseiten.de,https://www.nachdenkseiten.de/,official_primary,True
de_nachdenkseiten,NachDenkSeiten,DE,independent_media,high,x,NachDenkSeiten,https://x.com/NachDenkSeiten,official_platform_or_crosslink,True
de_naomi_seibt,Naomi Seibt,DE,high_reach_political_influencer,high,website,x.com/SeibtNaomi,https://x.com/SeibtNaomi,official_primary,True
de_naomi_seibt,Naomi Seibt,DE,high_reach_political_influencer,high,x,SeibtNaomi,https://x.com/SeibtNaomi,official_platform_or_crosslink,True
de_nius,NIUS,DE,bridge_media,critical,instagram,nius.de,https://www.instagram.com/nius.de/,official_platform_or_crosslink,True
de_nius,NIUS,DE,bridge_media,critical,website,nius.de,https://www.nius.de/,official_primary,True
de_norbert_roettgen,Norbert Röttgen,DE,political_actor,high,x,n_roettgen,https://x.com/n_roettgen,research_dataset_or_primary_crosslink,True
de_oezlem_demirel,Özlem Alev Demirel,DE,political_actor,high,website,die-linke.de/partei/parteidemokratie/parteivorstand,https://www.die-linke.de/partei/parteidemokratie/parteivorstand/,official_primary,False
de_oliver_ruhnert,Oliver Ruhnert,DE,political_actor,normal,website,bsw-vg.de/partei/parteivorstand,https://bsw-vg.de/partei/parteivorstand/,official_primary,False
de_omid_nouripour,Omid Nouripour,DE,political_actor,high,x,nouripour,https://x.com/nouripour,research_dataset_or_primary_crosslink,True
de_overton,Overton Magazin,DE,independent_media,normal,website,overton-magazin.de,https://overton-magazin.de/,official_primary,True
de_petr_bystron,Petr Bystron,DE,political_actor,high,website,europarl.europa.eu/meps/en/256937/PETR_BYSTRON/home,https://www.europarl.europa.eu/meps/en/256937/PETR_BYSTRON/home,official_primary,False
de_ralf_stegner,Ralf Stegner,DE,political_actor,high,website,search.gesis.org/research_data/ZA9076,https://search.gesis.org/research_data/ZA9076,official_primary,False
de_ralph_suikat,Ralph Suikat,DE,political_actor,normal,website,bsw-vg.de/partei/parteivorstand,https://bsw-vg.de/partei/parteivorstand/,official_primary,False
de_reitschuster,Reitschuster,DE,independent_media,high,telegram,reitschusterde,https://t.me/reitschusterde,official_platform_or_crosslink,True
de_reitschuster,Reitschuster,DE,independent_media,high,website,reitschuster.de,https://reitschuster.de/,official_primary,True
de_reitschuster,Reitschuster,DE,independent_media,high,x,reitschuster,https://x.com/reitschuster,official_platform_or_crosslink,True
de_rene_springer,René Springer,DE,political_actor,high,instagram,springer_rene,https://www.instagram.com/springer_rene/,official_or_primary_crosslink,True
de_rene_springer,René Springer,DE,political_actor,high,x,rene_springer,https://x.com/rene_springer,official_or_primary_crosslink,True
